noStudents,noStaffs,Bench_and_Desk,Computer,Board,Classrooms,status
494,24,123,123,9,9,Fine
387,19,96,96,7,7,Good
387,19,96,96,7,7,Very Good
198,9,49,49,3,3,Very Good
233,11,58,58,4,4,Very Good
129,6,32,32,2,2,Very Good
223,11,55,55,4,4,Good
322,16,80,80,6,6,Good
350,17,87,87,7,7,Good
412,20,103,103,8,8,Very Good
389,19,97,97,7,7,Very Good
252,12,63,63,5,5,Good
452,22,113,113,9,9,Good
233,11,58,58,4,4,Good
500,25,125,125,10,10,Very Good
330,16,82,82,6,6,Very Good
160,8,40,40,3,3,Fine
390,19,97,97,7,7,Very Good
477,23,119,119,9,9,Good
176,8,44,44,3,3,Very Good
470,23,117,117,9,9,Very Good
366,18,91,91,7,7,Good
125,6,31,31,2,2,Fine
196,9,49,49,3,3,Very Good
238,11,59,59,4,4,Very Good
462,23,115,115,9,9,Good
288,14,72,72,5,5,Good
305,15,76,76,6,6,Good
311,15,77,77,6,6,Very Good
433,21,108,108,8,8,Very Good
185,9,46,46,3,3,Fine
396,19,99,99,7,7,Very Good
416,20,104,104,8,8,Very Good
205,10,51,51,4,4,Very Good
286,14,71,71,5,5,Good
294,14,73,73,5,5,Fine
363,18,90,90,7,7,Good
385,19,96,96,7,7,Very Good
201,10,50,50,4,4,Very Good
145,7,36,36,2,2,Very Good
193,9,48,48,3,3,Good
278,13,69,69,5,5,Good
320,16,80,80,6,6,Good
317,15,79,79,6,6,Very Good
212,10,53,53,4,4,Very Good
366,18,91,91,7,7,Good
213,10,53,53,4,4,Fine
354,17,88,88,7,7,Good
148,7,37,37,2,2,Good
375,18,93,93,7,7,Good
178,8,44,44,3,3,Very Good
285,14,71,71,5,5,Good
284,14,71,71,5,5,Good
449,22,112,112,8,8,Fine
444,22,111,111,8,8,Very Good
241,12,60,60,4,4,Very Good
310,15,77,77,6,6,Very Good
405,20,101,101,8,8,Very Good
239,11,59,59,4,4,Good
167,8,41,41,3,3,Very Good
477,23,119,119,9,9,Fine
406,20,101,101,8,8,Good
163,8,40,40,3,3,Good
288,14,72,72,5,5,Good
304,15,76,76,6,6,Very Good
478,23,119,119,9,9,Good
400,20,100,100,8,8,Good
395,19,98,98,7,7,Very Good
460,23,115,115,9,9,Very Good
386,19,96,96,7,7,Good
410,20,102,102,8,8,Good
341,17,85,85,6,6,Good
330,16,82,82,6,6,Very Good
486,24,121,121,9,9,Very Good
477,23,119,119,9,9,Very Good
471,23,117,117,9,9,Good
426,21,106,106,8,8,Good
482,24,120,120,9,9,Very Good
277,13,69,69,5,5,Very Good
225,11,56,56,4,4,Good
249,12,62,62,4,4,Fine
115,5,28,28,2,2,Fine
353,17,88,88,7,7,Very Good
348,17,87,87,6,6,Very Good
442,22,110,110,8,8,Very Good
290,14,72,72,5,5,Very Good
221,11,55,55,4,4,Good
388,19,97,97,7,7,Very Good
497,24,124,124,9,9,Very Good
333,16,83,83,6,6,Very Good
140,7,35,35,2,2,Fine
470,23,117,117,9,9,Very Good
385,19,96,96,7,7,Very Good
114,5,28,28,2,2,Good
168,8,42,42,3,3,Fine
281,14,70,70,5,5,Very Good
435,21,108,108,8,8,Very Good
404,20,101,101,8,8,Fine
141,7,35,35,2,2,Very Good
189,9,47,47,3,3,Good
490,24,122,122,9,9,Good
224,11,56,56,4,4,Good
408,20,102,102,8,8,Good
309,15,77,77,6,6,Good
438,21,109,109,8,8,Very Good
118,5,29,29,2,2,Good
384,19,96,96,7,7,Very Good
306,15,76,76,6,6,Very Good
111,5,27,27,2,2,Good
437,21,109,109,8,8,Very Good
210,10,52,52,4,4,Good
183,9,45,45,3,3,Good
384,19,96,96,7,7,Fine
364,18,91,91,7,7,Good
354,17,88,88,7,7,Very Good
289,14,72,72,5,5,Good
258,12,64,64,5,5,Very Good
106,5,26,26,2,2,Fine
427,21,106,106,8,8,Very Good
143,7,35,35,2,2,Very Good
437,21,109,109,8,8,Very Good
287,14,71,71,5,5,Fine
489,24,122,122,9,9,Very Good
408,20,102,102,8,8,Very Good
216,10,54,54,4,4,Very Good
419,20,104,104,8,8,Very Good
339,16,84,84,6,6,Very Good
141,7,35,35,2,2,Fine
153,7,38,38,3,3,Fine
170,8,42,42,3,3,Good
106,5,26,26,2,2,Fine
263,13,65,65,5,5,Good
489,24,122,122,9,9,Good
169,8,42,42,3,3,Fine
176,8,44,44,3,3,Very Good
413,20,103,103,8,8,Very Good
389,19,97,97,7,7,Good
360,18,90,90,7,7,Good
381,19,95,95,7,7,Very Good
468,23,117,117,9,9,Good
365,18,91,91,7,7,Very Good
393,19,98,98,7,7,Very Good
335,16,83,83,6,6,Fine
144,7,36,36,2,2,Fine
418,20,104,104,8,8,Good
314,15,78,78,6,6,Good
496,24,124,124,9,9,Very Good
411,20,102,102,8,8,Very Good
409,20,102,102,8,8,Good
169,8,42,42,3,3,Very Good
108,5,27,27,2,2,Very Good
456,22,114,114,9,9,Good
271,13,67,67,5,5,Very Good
428,21,107,107,8,8,Fine
231,11,57,57,4,4,Good
243,12,60,60,4,4,Very Good
136,6,34,34,2,2,Very Good
451,22,112,112,9,9,Very Good
462,23,115,115,9,9,Very Good
322,16,80,80,6,6,Fine
417,20,104,104,8,8,Very Good
370,18,92,92,7,7,Good
262,13,65,65,5,5,Good
157,7,39,39,3,3,Good
379,18,94,94,7,7,Very Good
114,5,28,28,2,2,Good
134,6,33,33,2,2,Very Good
285,14,71,71,5,5,Good
110,5,27,27,2,2,Fine
438,21,109,109,8,8,Fine
455,22,113,113,9,9,Very Good
440,22,110,110,8,8,Good
286,14,71,71,5,5,Very Good
154,7,38,38,3,3,Very Good
143,7,35,35,2,2,Very Good
239,11,59,59,4,4,Very Good
333,16,83,83,6,6,Fine
138,6,34,34,2,2,Very Good
361,18,90,90,7,7,Very Good
384,19,96,96,7,7,Very Good
473,23,118,118,9,9,Very Good
117,5,29,29,2,2,Very Good
352,17,88,88,7,7,Very Good
435,21,108,108,8,8,Fine
424,21,106,106,8,8,Very Good
133,6,33,33,2,2,Very Good
188,9,47,47,3,3,Good
357,17,89,89,7,7,Good
305,15,76,76,6,6,Very Good
148,7,37,37,2,2,Very Good
148,7,37,37,2,2,Very Good
409,20,102,102,8,8,Very Good
342,17,85,85,6,6,Very Good
288,14,72,72,5,5,Good
321,16,80,80,6,6,Very Good
315,15,78,78,6,6,Good
130,6,32,32,2,2,Very Good
470,23,117,117,9,9,Good
382,19,95,95,7,7,Good
445,22,111,111,8,8,Very Good
399,19,99,99,7,7,Very Good
178,8,44,44,3,3,Very Good
135,6,33,33,2,2,Good
338,16,84,84,6,6,Good
249,12,62,62,4,4,Very Good
384,19,96,96,7,7,Very Good
450,22,112,112,9,9,Very Good
391,19,97,97,7,7,Very Good
141,7,35,35,2,2,Very Good
177,8,44,44,3,3,Fine
263,13,65,65,5,5,Good
451,22,112,112,9,9,Very Good
364,18,91,91,7,7,Very Good
315,15,78,78,6,6,Fine
141,7,35,35,2,2,Fine
299,14,74,74,5,5,Good
148,7,37,37,2,2,Very Good
243,12,60,60,4,4,Fine
448,22,112,112,8,8,Very Good
296,14,74,74,5,5,Very Good
290,14,72,72,5,5,Very Good
451,22,112,112,9,9,Good
338,16,84,84,6,6,Good
370,18,92,92,7,7,Good
484,24,121,121,9,9,Very Good
317,15,79,79,6,6,Very Good
202,10,50,50,4,4,Very Good
226,11,56,56,4,4,Fine
330,16,82,82,6,6,Good
165,8,41,41,3,3,Very Good
404,20,101,101,8,8,Very Good
311,15,77,77,6,6,Good
289,14,72,72,5,5,Very Good
474,23,118,118,9,9,Fine
422,21,105,105,8,8,Good
480,24,120,120,9,9,Very Good
189,9,47,47,3,3,Very Good
321,16,80,80,6,6,Good
231,11,57,57,4,4,Good
494,24,123,123,9,9,Good
243,12,60,60,4,4,Very Good
298,14,74,74,5,5,Very Good
188,9,47,47,3,3,Good
386,19,96,96,7,7,Very Good
451,22,112,112,9,9,Good
424,21,106,106,8,8,Fine
395,19,98,98,7,7,Very Good
179,8,44,44,3,3,Good
346,17,86,86,6,6,Good
461,23,115,115,9,9,Very Good
223,11,55,55,4,4,Good
408,20,102,102,8,8,Fine
253,12,63,63,5,5,Good
207,10,51,51,4,4,Very Good
477,23,119,119,9,9,Very Good
156,7,39,39,3,3,Very Good
197,9,49,49,3,3,Good
449,22,112,112,8,8,Very Good
233,11,58,58,4,4,Fine
294,14,73,73,5,5,Good
258,12,64,64,5,5,Good
393,19,98,98,7,7,Very Good
162,8,40,40,3,3,Good
466,23,116,116,9,9,Good
233,11,58,58,4,4,Very Good
434,21,108,108,8,8,Very Good
406,20,101,101,8,8,Fine
429,21,107,107,8,8,Very Good
160,8,40,40,3,3,Fine
332,16,83,83,6,6,Good
108,5,27,27,2,2,Good
279,13,69,69,5,5,Very Good
156,7,39,39,3,3,Fine
436,21,109,109,8,8,Good
231,11,57,57,4,4,Good
101,5,25,25,2,2,Very Good
138,6,34,34,2,2,Very Good
230,11,57,57,4,4,Very Good
176,8,44,44,3,3,Fine
332,16,83,83,6,6,Very Good
112,5,28,28,2,2,Very Good
457,22,114,114,9,9,Very Good
138,6,34,34,2,2,Good
227,11,56,56,4,4,Good
374,18,93,93,7,7,Very Good
263,13,65,65,5,5,Very Good
424,21,106,106,8,8,Good
309,15,77,77,6,6,Fine
413,20,103,103,8,8,Good
246,12,61,61,4,4,Very Good
379,18,94,94,7,7,Very Good
500,25,125,125,10,10,Very Good
463,23,115,115,9,9,Very Good
376,18,94,94,7,7,Very Good
245,12,61,61,4,4,Very Good
243,12,60,60,4,4,Very Good
189,9,47,47,3,3,Fine
175,8,43,43,3,3,Fine
197,9,49,49,3,3,Very Good
250,12,62,62,5,5,Good
120,6,30,30,2,2,Good
416,20,104,104,8,8,Good
413,20,103,103,8,8,Fine
192,9,48,48,3,3,Very Good
373,18,93,93,7,7,Very Good
117,5,29,29,2,2,Good
470,23,117,117,9,9,Very Good
490,24,122,122,9,9,Good
134,6,33,33,2,2,Very Good
257,12,64,64,5,5,Good
406,20,101,101,8,8,Good
253,12,63,63,5,5,Good
213,10,53,53,4,4,Very Good
127,6,31,31,2,2,Good
195,9,48,48,3,3,Very Good
386,19,96,96,7,7,Very Good
338,16,84,84,6,6,Fine
395,19,98,98,7,7,Good
143,7,35,35,2,2,Very Good
404,20,101,101,8,8,Very Good
237,11,59,59,4,4,Good
196,9,49,49,3,3,Good
137,6,34,34,2,2,Good
269,13,67,67,5,5,Very Good
168,8,42,42,3,3,Very Good
116,5,29,29,2,2,Very Good
148,7,37,37,2,2,Very Good
499,24,124,124,9,9,Very Good
328,16,82,82,6,6,Very Good
156,7,39,39,3,3,Good
473,23,118,118,9,9,Fine
133,6,33,33,2,2,Very Good
205,10,51,51,4,4,Fine
338,16,84,84,6,6,Good
334,16,83,83,6,6,Very Good
320,16,80,80,6,6,Good
244,12,61,61,4,4,Very Good
208,10,52,52,4,4,Good
314,15,78,78,6,6,Very Good
203,10,50,50,4,4,Very Good
410,20,102,102,8,8,Very Good
228,11,57,57,4,4,Very Good
481,24,120,120,9,9,Good
112,5,28,28,2,2,Very Good
233,11,58,58,4,4,Good
360,18,90,90,7,7,Fine
191,9,47,47,3,3,Good
246,12,61,61,4,4,Very Good
243,12,60,60,4,4,Good
489,24,122,122,9,9,Very Good
119,5,29,29,2,2,Very Good
124,6,31,31,2,2,Very Good
394,19,98,98,7,7,Very Good
243,12,60,60,4,4,Very Good
367,18,91,91,7,7,Very Good
122,6,30,30,2,2,Good
369,18,92,92,7,7,Very Good
350,17,87,87,7,7,Very Good
142,7,35,35,2,2,Very Good
130,6,32,32,2,2,Good
206,10,51,51,4,4,Fine
110,5,27,27,2,2,Very Good
182,9,45,45,3,3,Good
100,5,25,25,2,2,Very Good
165,8,41,41,3,3,Very Good
210,10,52,52,4,4,Good
163,8,40,40,3,3,Very Good
186,9,46,46,3,3,Very Good
305,15,76,76,6,6,Very Good
301,15,75,75,6,6,Very Good
404,20,101,101,8,8,Good
273,13,68,68,5,5,Fine
433,21,108,108,8,8,Good
492,24,123,123,9,9,Very Good
187,9,46,46,3,3,Very Good
471,23,117,117,9,9,Very Good
212,10,53,53,4,4,Good
340,17,85,85,6,6,Very Good
394,19,98,98,7,7,Fine
313,15,78,78,6,6,Good
462,23,115,115,9,9,Very Good
212,10,53,53,4,4,Very Good
407,20,101,101,8,8,Good
286,14,71,71,5,5,Very Good
202,10,50,50,4,4,Good
121,6,30,30,2,2,Good
102,5,25,25,2,2,Very Good
443,22,110,110,8,8,Very Good
463,23,115,115,9,9,Very Good
477,23,119,119,9,9,Very Good
175,8,43,43,3,3,Good
164,8,41,41,3,3,Very Good
462,23,115,115,9,9,Very Good
148,7,37,37,2,2,Very Good
488,24,122,122,9,9,Very Good
200,10,50,50,4,4,Very Good
199,9,49,49,3,3,Very Good
416,20,104,104,8,8,Good
400,20,100,100,8,8,Very Good
455,22,113,113,9,9,Fine
356,17,89,89,7,7,Fine
303,15,75,75,6,6,Good
214,10,53,53,4,4,Very Good
357,17,89,89,7,7,Very Good
393,19,98,98,7,7,Very Good
451,22,112,112,9,9,Very Good
122,6,30,30,2,2,Very Good
401,20,100,100,8,8,Very Good
133,6,33,33,2,2,Very Good
266,13,66,66,5,5,Good
279,13,69,69,5,5,Good
424,21,106,106,8,8,Very Good
258,12,64,64,5,5,Good
423,21,105,105,8,8,Good
189,9,47,47,3,3,Good
179,8,44,44,3,3,Fine
119,5,29,29,2,2,Very Good
160,8,40,40,3,3,Fine
190,9,47,47,3,3,Very Good
361,18,90,90,7,7,Good
237,11,59,59,4,4,Fine
362,18,90,90,7,7,Good
349,17,87,87,6,6,Very Good
220,11,55,55,4,4,Fine
160,8,40,40,3,3,Very Good
381,19,95,95,7,7,Very Good
114,5,28,28,2,2,Good
388,19,97,97,7,7,Good
406,20,101,101,8,8,Good
395,19,98,98,7,7,Very Good
413,20,103,103,8,8,Good
262,13,65,65,5,5,Good
251,12,62,62,5,5,Good
127,6,31,31,2,2,Very Good
145,7,36,36,2,2,Very Good
119,5,29,29,2,2,Good
288,14,72,72,5,5,Very Good
481,24,120,120,9,9,Very Good
397,19,99,99,7,7,Very Good
388,19,97,97,7,7,Very Good
204,10,51,51,4,4,Very Good
362,18,90,90,7,7,Very Good
368,18,92,92,7,7,Very Good
477,23,119,119,9,9,Very Good
342,17,85,85,6,6,Good
193,9,48,48,3,3,Very Good
398,19,99,99,7,7,Very Good
258,12,64,64,5,5,Fine
306,15,76,76,6,6,Very Good
150,7,37,37,3,3,Very Good
231,11,57,57,4,4,Very Good
237,11,59,59,4,4,Good
348,17,87,87,6,6,Very Good
500,25,125,125,10,10,Very Good
422,21,105,105,8,8,Very Good
276,13,69,69,5,5,Very Good
494,24,123,123,9,9,Good
429,21,107,107,8,8,Fine
138,6,34,34,2,2,Very Good
281,14,70,70,5,5,Very Good
322,16,80,80,6,6,Very Good
453,22,113,113,9,9,Fine
340,17,85,85,6,6,Very Good
270,13,67,67,5,5,Very Good
288,14,72,72,5,5,Very Good
157,7,39,39,3,3,Very Good
162,8,40,40,3,3,Good
251,12,62,62,5,5,Fine
138,6,34,34,2,2,Very Good
304,15,76,76,6,6,Fine
143,7,35,35,2,2,Good
288,14,72,72,5,5,Very Good
394,19,98,98,7,7,Very Good
187,9,46,46,3,3,Very Good
147,7,36,36,2,2,Good
109,5,27,27,2,2,Very Good
336,16,84,84,6,6,Very Good
497,24,124,124,9,9,Very Good
238,11,59,59,4,4,Very Good
171,8,42,42,3,3,Good
142,7,35,35,2,2,Fine
121,6,30,30,2,2,Very Good
132,6,33,33,2,2,Good
265,13,66,66,5,5,Very Good
153,7,38,38,3,3,Very Good
373,18,93,93,7,7,Very Good
496,24,124,124,9,9,Good
401,20,100,100,8,8,Very Good
453,22,113,113,9,9,Very Good
129,6,32,32,2,2,Fine
399,19,99,99,7,7,Very Good
411,20,102,102,8,8,Fine
448,22,112,112,8,8,Good
352,17,88,88,7,7,Very Good
236,11,59,59,4,4,Fine
352,17,88,88,7,7,Very Good
424,21,106,106,8,8,Very Good
154,7,38,38,3,3,Very Good
498,24,124,124,9,9,Very Good
195,9,48,48,3,3,Fine
238,11,59,59,4,4,Very Good
145,7,36,36,2,2,Very Good
498,24,124,124,9,9,Good
471,23,117,117,9,9,Good
486,24,121,121,9,9,Very Good
445,22,111,111,8,8,Fine
321,16,80,80,6,6,Very Good
385,19,96,96,7,7,Very Good
230,11,57,57,4,4,Fine
341,17,85,85,6,6,Very Good
227,11,56,56,4,4,Good
451,22,112,112,9,9,Very Good
445,22,111,111,8,8,Very Good
290,14,72,72,5,5,Good
163,8,40,40,3,3,Fine
262,13,65,65,5,5,Very Good
114,5,28,28,2,2,Good
282,14,70,70,5,5,Good
494,24,123,123,9,9,Very Good
339,16,84,84,6,6,Very Good
369,18,92,92,7,7,Very Good
451,22,112,112,9,9,Very Good
147,7,36,36,2,2,Very Good
383,19,95,95,7,7,Very Good
212,10,53,53,4,4,Very Good
283,14,70,70,5,5,Very Good
449,22,112,112,8,8,Fine
256,12,64,64,5,5,Very Good
277,13,69,69,5,5,Very Good
272,13,68,68,5,5,Good
298,14,74,74,5,5,Very Good
361,18,90,90,7,7,Very Good
169,8,42,42,3,3,Very Good
107,5,26,26,2,2,Very Good
145,7,36,36,2,2,Good
325,16,81,81,6,6,Very Good
170,8,42,42,3,3,Fine
193,9,48,48,3,3,Good
398,19,99,99,7,7,Very Good
375,18,93,93,7,7,Very Good
366,18,91,91,7,7,Very Good
210,10,52,52,4,4,Very Good
318,15,79,79,6,6,Very Good
150,7,37,37,3,3,Very Good
296,14,74,74,5,5,Very Good
365,18,91,91,7,7,Very Good
382,19,95,95,7,7,Very Good
248,12,62,62,4,4,Very Good
419,20,104,104,8,8,Fine
421,21,105,105,8,8,Very Good
450,22,112,112,9,9,Good
271,13,67,67,5,5,Very Good
298,14,74,74,5,5,Very Good
279,13,69,69,5,5,Very Good
258,12,64,64,5,5,Very Good
445,22,111,111,8,8,Good
199,9,49,49,3,3,Very Good
328,16,82,82,6,6,Fine
216,10,54,54,4,4,Good
202,10,50,50,4,4,Very Good
362,18,90,90,7,7,Very Good
122,6,30,30,2,2,Fine
237,11,59,59,4,4,Fine
459,22,114,114,9,9,Very Good
185,9,46,46,3,3,Very Good
186,9,46,46,3,3,Very Good
128,6,32,32,2,2,Very Good
374,18,93,93,7,7,Good
391,19,97,97,7,7,Fine
297,14,74,74,5,5,Very Good
302,15,75,75,6,6,Very Good
204,10,51,51,4,4,Very Good
397,19,99,99,7,7,Good
488,24,122,122,9,9,Very Good
280,14,70,70,5,5,Fine
454,22,113,113,9,9,Fine
128,6,32,32,2,2,Very Good
317,15,79,79,6,6,Good
153,7,38,38,3,3,Very Good
367,18,91,91,7,7,Very Good
436,21,109,109,8,8,Very Good
320,16,80,80,6,6,Good
391,19,97,97,7,7,Very Good
173,8,43,43,3,3,Fine
150,7,37,37,3,3,Good
253,12,63,63,5,5,Very Good
199,9,49,49,3,3,Good
138,6,34,34,2,2,Very Good
169,8,42,42,3,3,Fine
234,11,58,58,4,4,Very Good
120,6,30,30,2,2,Good
475,23,118,118,9,9,Very Good
462,23,115,115,9,9,Fine
301,15,75,75,6,6,Very Good
154,7,38,38,3,3,Very Good
495,24,123,123,9,9,Very Good
172,8,43,43,3,3,Good
207,10,51,51,4,4,Very Good
180,9,45,45,3,3,Good
349,17,87,87,6,6,Very Good
134,6,33,33,2,2,Very Good
114,5,28,28,2,2,Very Good
346,17,86,86,6,6,Good
367,18,91,91,7,7,Good
369,18,92,92,7,7,Very Good
300,15,75,75,6,6,Good
278,13,69,69,5,5,Very Good
186,9,46,46,3,3,Very Good
209,10,52,52,4,4,Very Good
365,18,91,91,7,7,Good
343,17,85,85,6,6,Very Good
171,8,42,42,3,3,Good
333,16,83,83,6,6,Very Good
117,5,29,29,2,2,Good
251,12,62,62,5,5,Good
279,13,69,69,5,5,Good
100,5,25,25,2,2,Very Good
454,22,113,113,9,9,Fine
349,17,87,87,6,6,Fine
447,22,111,111,8,8,Very Good
394,19,98,98,7,7,Very Good
427,21,106,106,8,8,Very Good
223,11,55,55,4,4,Good
445,22,111,111,8,8,Good
140,7,35,35,2,2,Good
286,14,71,71,5,5,Fine
277,13,69,69,5,5,Very Good
133,6,33,33,2,2,Very Good
137,6,34,34,2,2,Very Good
153,7,38,38,3,3,Very Good
358,17,89,89,7,7,Very Good
384,19,96,96,7,7,Good
234,11,58,58,4,4,Good
392,19,98,98,7,7,Very Good
414,20,103,103,8,8,Very Good
394,19,98,98,7,7,Good
241,12,60,60,4,4,Good
133,6,33,33,2,2,Very Good
344,17,86,86,6,6,Good
129,6,32,32,2,2,Very Good
273,13,68,68,5,5,Fine
178,8,44,44,3,3,Very Good
356,17,89,89,7,7,Very Good
352,17,88,88,7,7,Very Good
411,20,102,102,8,8,Very Good
368,18,92,92,7,7,Good
291,14,72,72,5,5,Good
172,8,43,43,3,3,Fine
487,24,121,121,9,9,Good
300,15,75,75,6,6,Very Good
292,14,73,73,5,5,Very Good
161,8,40,40,3,3,Very Good
108,5,27,27,2,2,Good
476,23,119,119,9,9,Good
428,21,107,107,8,8,Very Good
307,15,76,76,6,6,Good
290,14,72,72,5,5,Good
260,13,65,65,5,5,Very Good
430,21,107,107,8,8,Fine
201,10,50,50,4,4,Very Good
494,24,123,123,9,9,Good
302,15,75,75,6,6,Good
490,24,122,122,9,9,Very Good
442,22,110,110,8,8,Fine
291,14,72,72,5,5,Very Good
425,21,106,106,8,8,Very Good
177,8,44,44,3,3,Very Good
108,5,27,27,2,2,Very Good
494,24,123,123,9,9,Good
313,15,78,78,6,6,Very Good
451,22,112,112,9,9,Very Good
276,13,69,69,5,5,Very Good
429,21,107,107,8,8,Very Good
204,10,51,51,4,4,Very Good
122,6,30,30,2,2,Fine
390,19,97,97,7,7,Very Good
151,7,37,37,3,3,Fine
129,6,32,32,2,2,Very Good
106,5,26,26,2,2,Very Good
122,6,30,30,2,2,Good
202,10,50,50,4,4,Very Good
398,19,99,99,7,7,Good
360,18,90,90,7,7,Good
213,10,53,53,4,4,Fine
460,23,115,115,9,9,Very Good
166,8,41,41,3,3,Good
318,15,79,79,6,6,Very Good
449,22,112,112,8,8,Good
166,8,41,41,3,3,Very Good
454,22,113,113,9,9,Very Good
211,10,52,52,4,4,Good
369,18,92,92,7,7,Good
212,10,53,53,4,4,Very Good
169,8,42,42,3,3,Good
190,9,47,47,3,3,Good
231,11,57,57,4,4,Fine
448,22,112,112,8,8,Very Good
238,11,59,59,4,4,Good
141,7,35,35,2,2,Very Good
390,19,97,97,7,7,Very Good
269,13,67,67,5,5,Very Good
424,21,106,106,8,8,Very Good
282,14,70,70,5,5,Good
398,19,99,99,7,7,Very Good
341,17,85,85,6,6,Very Good
412,20,103,103,8,8,Fine
428,21,107,107,8,8,Very Good
396,19,99,99,7,7,Very Good
317,15,79,79,6,6,Very Good
130,6,32,32,2,2,Very Good
496,24,124,124,9,9,Fine
434,21,108,108,8,8,Good
176,8,44,44,3,3,Good
154,7,38,38,3,3,Good
248,12,62,62,4,4,Very Good
229,11,57,57,4,4,Fine
283,14,70,70,5,5,Very Good
186,9,46,46,3,3,Good
242,12,60,60,4,4,Good
335,16,83,83,6,6,Fine
479,23,119,119,9,9,Very Good
410,20,102,102,8,8,Very Good
462,23,115,115,9,9,Fine
119,5,29,29,2,2,Fine
192,9,48,48,3,3,Fine
361,18,90,90,7,7,Good
234,11,58,58,4,4,Fine
239,11,59,59,4,4,Very Good
208,10,52,52,4,4,Very Good
108,5,27,27,2,2,Good
249,12,62,62,4,4,Fine
460,23,115,115,9,9,Very Good
100,5,25,25,2,2,Good
248,12,62,62,4,4,Good
282,14,70,70,5,5,Very Good
441,22,110,110,8,8,Good
471,23,117,117,9,9,Very Good
374,18,93,93,7,7,Fine
335,16,83,83,6,6,Very Good
254,12,63,63,5,5,Very Good
449,22,112,112,8,8,Very Good
106,5,26,26,2,2,Very Good
141,7,35,35,2,2,Very Good
309,15,77,77,6,6,Very Good
337,16,84,84,6,6,Good
369,18,92,92,7,7,Good
310,15,77,77,6,6,Fine
185,9,46,46,3,3,Very Good
314,15,78,78,6,6,Very Good
244,12,61,61,4,4,Very Good
111,5,27,27,2,2,Very Good
276,13,69,69,5,5,Very Good
185,9,46,46,3,3,Fine
184,9,46,46,3,3,Very Good
186,9,46,46,3,3,Good
393,19,98,98,7,7,Very Good
477,23,119,119,9,9,Very Good
374,18,93,93,7,7,Fine
103,5,25,25,2,2,Fine
245,12,61,61,4,4,Fine
217,10,54,54,4,4,Very Good
180,9,45,45,3,3,Very Good
185,9,46,46,3,3,Very Good
310,15,77,77,6,6,Good
119,5,29,29,2,2,Very Good
274,13,68,68,5,5,Fine
137,6,34,34,2,2,Very Good
349,17,87,87,6,6,Fine
274,13,68,68,5,5,Very Good
103,5,25,25,2,2,Good
191,9,47,47,3,3,Very Good
215,10,53,53,4,4,Very Good
308,15,77,77,6,6,Good
485,24,121,121,9,9,Fine
489,24,122,122,9,9,Fine
263,13,65,65,5,5,Good
255,12,63,63,5,5,Good
345,17,86,86,6,6,Good
445,22,111,111,8,8,Fine
412,20,103,103,8,8,Very Good
305,15,76,76,6,6,Fine
340,17,85,85,6,6,Very Good
464,23,116,116,9,9,Very Good
344,17,86,86,6,6,Good
160,8,40,40,3,3,Fine
365,18,91,91,7,7,Fine
338,16,84,84,6,6,Very Good
446,22,111,111,8,8,Very Good
233,11,58,58,4,4,Very Good
408,20,102,102,8,8,Very Good
378,18,94,94,7,7,Fine
166,8,41,41,3,3,Fine
264,13,66,66,5,5,Fine
435,21,108,108,8,8,Very Good
172,8,43,43,3,3,Fine
429,21,107,107,8,8,Very Good
136,6,34,34,2,2,Fine
355,17,88,88,7,7,Very Good
120,6,30,30,2,2,Good
500,25,125,125,10,10,Very Good
303,15,75,75,6,6,Very Good
300,15,75,75,6,6,Very Good
359,17,89,89,7,7,Very Good
471,23,117,117,9,9,Good
299,14,74,74,5,5,Very Good
464,23,116,116,9,9,Fine
118,5,29,29,2,2,Good
161,8,40,40,3,3,Good
287,14,71,71,5,5,Fine
311,15,77,77,6,6,Good
242,12,60,60,4,4,Very Good
127,6,31,31,2,2,Fine
206,10,51,51,4,4,Good
305,15,76,76,6,6,Very Good
271,13,67,67,5,5,Very Good
472,23,118,118,9,9,Good
290,14,72,72,5,5,Very Good
195,9,48,48,3,3,Very Good
451,22,112,112,9,9,Good
330,16,82,82,6,6,Good
156,7,39,39,3,3,Fine
257,12,64,64,5,5,Fine
237,11,59,59,4,4,Good
447,22,111,111,8,8,Good
385,19,96,96,7,7,Good
416,20,104,104,8,8,Very Good
131,6,32,32,2,2,Very Good
334,16,83,83,6,6,Fine
165,8,41,41,3,3,Good
242,12,60,60,4,4,Very Good
114,5,28,28,2,2,Good
266,13,66,66,5,5,Very Good
453,22,113,113,9,9,Good
483,24,120,120,9,9,Fine
175,8,43,43,3,3,Very Good
381,19,95,95,7,7,Very Good
272,13,68,68,5,5,Very Good
194,9,48,48,3,3,Good
107,5,26,26,2,2,Very Good
222,11,55,55,4,4,Very Good
465,23,116,116,9,9,Very Good
200,10,50,50,4,4,Very Good
365,18,91,91,7,7,Very Good
142,7,35,35,2,2,Good
303,15,75,75,6,6,Very Good
101,5,25,25,2,2,Fine
190,9,47,47,3,3,Good
242,12,60,60,4,4,Good
391,19,97,97,7,7,Very Good
446,22,111,111,8,8,Good
417,20,104,104,8,8,Very Good
339,16,84,84,6,6,Very Good
407,20,101,101,8,8,Fine
385,19,96,96,7,7,Good
201,10,50,50,4,4,Good
337,16,84,84,6,6,Very Good
258,12,64,64,5,5,Very Good
153,7,38,38,3,3,Very Good
498,24,124,124,9,9,Fine
312,15,78,78,6,6,Very Good
